Language,Original,English,French,Spanish,Italian,German,Russian,Polish,Czech,Hungarian,Japanese
STR_ITEMS_VITAMINBOTTLE,Vitamin Bottle,Vitamin Bottle,Vitamin Bottle,Vitamin Bottle,Vitamin Bottle,Vitamin Bottle,Витамины,Vitamin Bottle,Vitamin Bottle,Vitamin Bottle,Vitamin Bottle
STR_USERACTIONS_FEED_PAINKILLERS,Feed Painkillers,Feed Painkillers,Feed Painkillers,Feed Painkillers,Feed Painkillers,Feed Painkillers,Накормить болеутоляющим,Feed Painkillers,Feed Painkillers,Feed Painkillers,Feed Painkillers
STR_USERACTIONS_CONSUME_PAINKILLERS,Consume Painkillers,Consume Painkillers,Consume Painkillers,Consume Painkillers,Consume Painkillers,Consume Painkillers,Употребить болеутоляющее,Consume Painkillers,Consume Painkillers,Consume Painkillers,Consume Painkillers
STR_ITEMS_PAINKILLERS_DESC,A moderate painkillers suitable for regular use in relief of pain and inflammation cause by moderate wounds.,A moderate painkillers suitable for regular use in relief of pain and inflammation cause by moderate wounds.,A moderate painkillers suitable for regular use in relief of pain and inflammation cause by moderate wounds.,A moderate painkillers suitable for regular use in relief of pain and inflammation cause by moderate wounds.,A moderate painkillers suitable for regular use in relief of pain and inflammation cause by moderate wounds.,A moderate painkillers suitable for regular use in relief of pain and inflammation cause by moderate wounds.,"Болеутоляющее умеренного действия, подходящее для регулярного устранения боли и воспалений небольших ран.",A moderate painkillers suitable for regular use in relief of pain and inflammation cause by moderate wounds.,A moderate painkillers suitable for regular use in relief of pain and inflammation cause by moderate wounds.,A moderate painkillers suitable for regular use in relief of pain and inflammation cause by moderate wounds.,A moderate painkillers suitable for regular use in relief of pain and inflammation cause by moderate wounds.
STR_ITEMS_ALCOHOLTINCTURE_DESC,"Home proven alcohol-based tincture of natural essential oils, their substances and also some aromatic extracts. Can be used for disinfection of scratches and wounds or diluted for refreshing bath.","Home proven alcohol-based tincture of natural essential oils, their substances and also some aromatic extracts. Can be used for disinfection of scratches and wounds or diluted for refreshing bath.","Home proven alcohol-based tincture of natural essential oils, their substances and also some aromatic extracts. Can be used for disinfection of scratches and wounds or diluted for refreshing bath.","Home proven alcohol-based tincture of natural essential oils, their substances and also some aromatic extracts. Can be used for disinfection of scratches and wounds or diluted for refreshing bath.","Home proven alcohol-based tincture of natural essential oils, their substances and also some aromatic extracts. Can be used for disinfection of scratches and wounds or diluted for refreshing bath.","Home proven alcohol-based tincture of natural essential oils, their substances and also some aromatic extracts. Can be used for disinfection of scratches and wounds or diluted for refreshing bath.","Натуральная спиртовая настойка на природных маслах, с добавлением их примесей и некоторых ароматических экстрактов. Проверено в домашних условиях. Может использоваться для дезинфекции порезов и ран или в растворе для тонизирующих ванн.","Home proven alcohol-based tincture of natural essential oils, their substances and also some aromatic extracts. Can be used for disinfection of scratches and wounds or diluted for refreshing bath.","Home proven alcohol-based tincture of natural essential oils, their substances and also some aromatic extracts. Can be used for disinfection of scratches and wounds or diluted for refreshing bath.","Home proven alcohol-based tincture of natural essential oils, their substances and also some aromatic extracts. Can be used for disinfection of scratches and wounds or diluted for refreshing bath.","Home proven alcohol-based tincture of natural essential oils, their substances and also some aromatic extracts. Can be used for disinfection of scratches and wounds or diluted for refreshing bath."
STR_USERACTIONS_APPLYTINCTURE,Apply tincture,Apply tincture,Apply tincture,Apply tincture,Apply tincture,Apply tincture,Применить алкогольную настойку,Apply tincture,Apply tincture,Apply tincture,Apply tincture
STR_USERACTIONS_APPLYSPRAY,,,,,,,Применить спрей,,,,
STR_USERACTIONS_SPRAY,Spray,Spray,Spray,Spray,Spray,Spray,Распылить,Spray,Spray,Spray,Spray
STR_ITEMS_WATERPURIFICATIONTABLETS_DESC,Often used to disinfect potentially unsafe water from common water-borne diseases. Uses hypochlorous acid for a safe and palatable result. One tablet per bottle.,Often used to disinfect potentially unsafe water from common water-borne diseases. Uses hypochlorous acid for a safe and palatable result. One tablet per bottle.,Often used to disinfect potentially unsafe water from common water-borne diseases. Uses hypochlorous acid for a safe and palatable result. One tablet per bottle.,Often used to disinfect potentially unsafe water from common water-borne diseases. Uses hypochlorous acid for a safe and palatable result. One tablet per bottle.,Often used to disinfect potentially unsafe water from common water-borne diseases. Uses hypochlorous acid for a safe and palatable result. One tablet per bottle.,Often used to disinfect potentially unsafe water from common water-borne diseases. Uses hypochlorous acid for a safe and palatable result. One tablet per bottle.,"Часто используется для дезинфекции потенциально небезопасной воды, чтобы устранить типичные инфекции передающиеся через воду. Очищение гипохлористой кислотой происходит безопасно и без изменения вкусовых качеств. Одна таблетка на бутылку.",Often used to disinfect potentially unsafe water from common water-borne diseases. Uses hypochlorous acid for a safe and palatable result. One tablet per bottle.,Often used to disinfect potentially unsafe water from common water-borne diseases. Uses hypochlorous acid for a safe and palatable result. One tablet per bottle.,Often used to disinfect potentially unsafe water from common water-borne diseases. Uses hypochlorous acid for a safe and palatable result. One tablet per bottle.,Often used to disinfect potentially unsafe water from common water-borne diseases. Uses hypochlorous acid for a safe and palatable result. One tablet per bottle.
STR_ITEMS_CHARCOALTABLETS,Charcoal Tabs,Charcoal Tabs,Charcoal Tabs,Charcoal Tabs,Charcoal Tabs,Charcoal Tabs,Активированный уголь,Charcoal Tabs,Charcoal Tabs,Charcoal Tabs,Charcoal Tabs
STR_USERACTIONS_CLEANWOUNDS,Clean wounds,Clean wounds,Clean wounds,Clean wounds,Clean wounds,Clean wounds,Промыть раны,Clean wounds,Clean wounds,Clean wounds,Clean wounds
STR_ITEMS_WATERPURIFICATIONTABLETS,Water purification tablets,Water purification tablets,Water purification tablets,Water purification tablets,Water purification tablets,Water purification tablets,Таблетки для очистки воды,Water purification tablets,Water purification tablets,Water purification tablets,Water purification tablets
STR_ITEMS_ATTACHMENT_OPTIC_M4CARRYHANDLE,M4 Carryhandle Optics,M4 Carryhandle Optics,M4 Carryhandle Optics,M4 Carryhandle Optics,M4 Carryhandle Optics,M4 Carryhandle Optics,Прицел-рукоять для М4,M4 Carryhandle Optics,M4 Carryhandle Optics,M4 Carryhandle Optics,M4 Carryhandle Optics
STR_ITEMS_ATTACHMENT_OPTIC_M4CARRYHANDLE_DESC,A basic ironsight carryhandle optics for the M4 carbine.,A basic ironsight carryhandle optics for the M4 carbine.,A basic ironsight carryhandle optics for the M4 carbine.,A basic ironsight carryhandle optics for the M4 carbine.,A basic ironsight carryhandle optics for the M4 carbine.,A basic ironsight carryhandle optics for the M4 carbine.,Стандартный прицел-рукоять для карабина M4.,A basic ironsight carryhandle optics for the M4 carbine.,A basic ironsight carryhandle optics for the M4 carbine.,A basic ironsight carryhandle optics for the M4 carbine.,A basic ironsight carryhandle optics for the M4 carbine.
STR_ITEMS_ATTACHMENT_OPTIC_BUIS,BUIS,BUIS,BUIS,BUIS,BUIS,BUIS,Прицел BUIS,BUIS,BUIS,BUIS,BUIS
STR_ITEMS_ATTACHMENT_OPTIC_BUIS_DESC,A simple backup iron sights for the M4 carbine.,A simple backup iron sights for the M4 carbine.,A simple backup iron sights for the M4 carbine.,A simple backup iron sights for the M4 carbine.,A simple backup iron sights for the M4 carbine.,A simple backup iron sights for the M4 carbine.,Простой прицел открытого типа для карабина М4,A simple backup iron sights for the M4 carbine.,A simple backup iron sights for the M4 carbine.,A simple backup iron sights for the M4 carbine.,A simple backup iron sights for the M4 carbine.
STR_ITEMS_BANDAGE_DESC,Prepacked sterile dressing used for application to a wound to promote healing and stop bleeding. It is designed to be in direct contact with the wound.,Prepacked sterile dressing used for application to a wound to promote healing and stop bleeding. It is designed to be in direct contact with the wound.,Prepacked sterile dressing used for application to a wound to promote healing and stop bleeding. It is designed to be in direct contact with the wound.,Prepacked sterile dressing used for application to a wound to promote healing and stop bleeding. It is designed to be in direct contact with the wound.,Prepacked sterile dressing used for application to a wound to promote healing and stop bleeding. It is designed to be in direct contact with the wound.,Prepacked sterile dressing used for application to a wound to promote healing and stop bleeding. It is designed to be in direct contact with the wound.,"Упакованный перевязочный пакет, накладывается на рану для ускорения заживления и остановки кровотечения. Предназначен для непосредственного контакта с открытой раной.",Prepacked sterile dressing used for application to a wound to promote healing and stop bleeding. It is designed to be in direct contact with the wound.,Prepacked sterile dressing used for application to a wound to promote healing and stop bleeding. It is designed to be in direct contact with the wound.,Prepacked sterile dressing used for application to a wound to promote healing and stop bleeding. It is designed to be in direct contact with the wound.,Prepacked sterile dressing used for application to a wound to promote healing and stop bleeding. It is designed to be in direct contact with the wound.
STR_ITEMS_DISINFECTANTSPRAY_DESC,The label reads: "kills viruses and bacteria on environmental surfaces in your home and in public places. It eliminates germs and odours on hard non-porous surfaces that you come in contact with every day",The label reads: "kills viruses and bacteria on environmental surfaces in your home and in public places. It eliminates germs and odours on hard non-porous surfaces that you come in contact with every day",The label reads: "kills viruses and bacteria on environmental surfaces in your home and in public places. It eliminates germs and odours on hard non-porous surfaces that you come in contact with every day",The label reads: "kills viruses and bacteria on environmental surfaces in your home and in public places. It eliminates germs and odours on hard non-porous surfaces that you come in contact with every day",The label reads: "kills viruses and bacteria on environmental surfaces in your home and in public places. It eliminates germs and odours on hard non-porous surfaces that you come in contact with every day",The label reads: "kills viruses and bacteria on environmental surfaces in your home and in public places. It eliminates germs and odours on hard non-porous surfaces that you come in contact with every day","На этикетке написано: ""убивает вирусы и бактерии на окружающих поверхностях в вашем доме и общественных местах. Устраняет микробы и запахи с жестких непористых поверхностей, с которыми вы контактируете каждый день"".",The label reads: "kills viruses and bacteria on environmental surfaces in your home and in public places. It eliminates germs and odours on hard non-porous surfaces that you come in contact with every day",The label reads: "kills viruses and bacteria on environmental surfaces in your home and in public places. It eliminates germs and odours on hard non-porous surfaces that you come in contact with every day",The label reads: "kills viruses and bacteria on environmental surfaces in your home and in public places. It eliminates germs and odours on hard non-porous surfaces that you come in contact with every day",The label reads: "kills viruses and bacteria on environmental surfaces in your home and in public places. It eliminates germs and odours on hard non-porous surfaces that you come in contact with every day"
STR_ITEMS_CANNEDSARDINES_DESC2,"A common type of fish consumed by humans, as sardines are rich in nutrients. They are commonly served in cans, but fresh sardines are also often grilled, pickled or smoked.","A common type of fish consumed by humans, as sardines are rich in nutrients. They are commonly served in cans, but fresh sardines are also often grilled, pickled or smoked.","A common type of fish consumed by humans, as sardines are rich in nutrients. They are commonly served in cans, but fresh sardines are also often grilled, pickled or smoked.","A common type of fish consumed by humans, as sardines are rich in nutrients. They are commonly served in cans, but fresh sardines are also often grilled, pickled or smoked.","A common type of fish consumed by humans, as sardines are rich in nutrients. They are commonly served in cans, but fresh sardines are also often grilled, pickled or smoked.","A common type of fish consumed by humans, as sardines are rich in nutrients. They are commonly served in cans, but fresh sardines are also often grilled, pickled or smoked.","Сардины - распространённый вид рыбы, потребляемой людьми; богаты питательными веществами. Зачастую встречается в консервированном виде, однако, свежие сардины часто маринуют, коптят, или готовят на гриле.","A common type of fish consumed by humans, as sardines are rich in nutrients. They are commonly served in cans, but fresh sardines are also often grilled, pickled or smoked.","A common type of fish consumed by humans, as sardines are rich in nutrients. They are commonly served in cans, but fresh sardines are also often grilled, pickled or smoked.","A common type of fish consumed by humans, as sardines are rich in nutrients. They are commonly served in cans, but fresh sardines are also often grilled, pickled or smoked.","A common type of fish consumed by humans, as sardines are rich in nutrients. They are commonly served in cans, but fresh sardines are also often grilled, pickled or smoked."
STR_USERACTIONS_CONSUME,Consume,Consume,Consume,Consume,Consume,Consume,Употребить,Consume,Consume,Consume,Consume
STR_ITEMS_MAPEAST,Map of E Chernarus,Map of E Chernarus,Map of E Chernarus,Map of E Chernarus,Map of E Chernarus,Map of E Chernarus,Карта востока Чернаруси,Map of E Chernarus,Map of E Chernarus,Map of E Chernarus,Map of E Chernarus
STR_ITEMS_MAPWEST_DESC,"Tourist map of the W region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the W region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the W region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the W region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the W region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the W region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the W region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the W region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the W region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the W region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the W region of Chernarus. Shows all the roads, buildings, points of interest and terrain."
STR_ITEMS_MAPSOUTH,Map of S Chernarus,Map of S Chernarus,Map of S Chernarus,Map of S Chernarus,Map of S Chernarus,Map of S Chernarus,Карта юга Чернаруси,Map of S Chernarus,Map of S Chernarus,Map of S Chernarus,Map of S Chernarus
STR_ITEMS_MAPEAST_DESC,"Tourist map of the E region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the E region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the E region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the E region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the E region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the E region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the E region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the E region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the E region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the E region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the E region of Chernarus. Shows all the roads, buildings, points of interest and terrain."
STR_ITEMS_MAPNE,Map of NE Chernarus,Map of NE Chernarus,Map of NE Chernarus,Map of NE Chernarus,Map of NE Chernarus,Map of NE Chernarus,Карта северо-востока Чернаруси,Map of NE Chernarus,Map of NE Chernarus,Map of NE Chernarus,Map of NE Chernarus
STR_ITEMS_MAPSE_DESC,"Tourist map of the SE region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the SE region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the SE region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the SE region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the SE region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the SE region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the SE region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the SE region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the SE region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the SE region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the SE region of Chernarus. Shows all the roads, buildings, points of interest and terrain."
STR_ITEMS_MAPWEST,Map of W Chernarus,Map of W Chernarus,Map of W Chernarus,Map of W Chernarus,Map of W Chernarus,Map of W Chernarus,Карта запада Чернаруси,Map of W Chernarus,Map of W Chernarus,Map of W Chernarus,Map of W Chernarus
STR_ITEMS_MAPNE_DESC,"Tourist map of the NE region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the NE region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the NE region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the NE region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the NE region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the NE region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the NE region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the NE region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the NE region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the NE region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the NE region of Chernarus. Shows all the roads, buildings, points of interest and terrain."
STR_ITEMS_MAPNW_DESC,"Tourist map of the NW region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the NW region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the NW region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the NW region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the NW region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the NW region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the NW region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the NW region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the NW region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the NW region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the NW region of Chernarus. Shows all the roads, buildings, points of interest and terrain."
STR_ITEMS_MAPNW,Map of NW Chernarus,Map of NW Chernarus,Map of NW Chernarus,Map of NW Chernarus,Map of NW Chernarus,Map of NW Chernarus,Карта северо-запада Чернаруси,Map of NW Chernarus,Map of NW Chernarus,Map of NW Chernarus,Map of NW Chernarus
STR_ITEMS_MAPSE,Map of SE Chernarus,Map of SE Chernarus,Map of SE Chernarus,Map of SE Chernarus,Map of SE Chernarus,Map of SE Chernarus,Карта юго-востока Чернаруси,Map of SE Chernarus,Map of SE Chernarus,Map of SE Chernarus,Map of SE Chernarus
STR_ITEMS_MAPKRASNO_DESC,"Tourist map of the city Krasnostav. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Krasnostav, be sure to bring this map with you!","Tourist map of the city Krasnostav. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Krasnostav, be sure to bring this map with you!","Tourist map of the city Krasnostav. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Krasnostav, be sure to bring this map with you!","Tourist map of the city Krasnostav. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Krasnostav, be sure to bring this map with you!","Tourist map of the city Krasnostav. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Krasnostav, be sure to bring this map with you!","Tourist map of the city Krasnostav. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Krasnostav, be sure to bring this map with you!","Tourist map of the city Krasnostav. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Krasnostav, be sure to bring this map with you!","Tourist map of the city Krasnostav. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Krasnostav, be sure to bring this map with you!","Tourist map of the city Krasnostav. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Krasnostav, be sure to bring this map with you!",,"Tourist map of the city Krasnostav. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Krasnostav, be sure to bring this map with you!"
STR_ITEMS_MAPZELENO_DESC,"Tourist map of the city Zelenogorsk. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Zelenogorsk, be sure to bring this map with you!","Tourist map of the city Zelenogorsk. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Zelenogorsk, be sure to bring this map with you!","Tourist map of the city Zelenogorsk. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Zelenogorsk, be sure to bring this map with you!","Tourist map of the city Zelenogorsk. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Zelenogorsk, be sure to bring this map with you!","Tourist map of the city Zelenogorsk. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Zelenogorsk, be sure to bring this map with you!","Tourist map of the city Zelenogorsk. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Zelenogorsk, be sure to bring this map with you!","Tourist map of the city Zelenogorsk. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Zelenogorsk, be sure to bring this map with you!","Tourist map of the city Zelenogorsk. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Zelenogorsk, be sure to bring this map with you!","Tourist map of the city Zelenogorsk. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Zelenogorsk, be sure to bring this map with you!","Tourist map of the city Zelenogorsk. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Zelenogorsk, be sure to bring this map with you!","Tourist map of the city Zelenogorsk. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Zelenogorsk, be sure to bring this map with you!"
STR_ITEMS_MAPSW_DESC,"Tourist map of the SW region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the SW region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the SW region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the SW region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the SW region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the SW region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the SW region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the SW region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the SW region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the SW region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the SW region of Chernarus. Shows all the roads, buildings, points of interest and terrain."
STR_ITEMS_MAPSW,Map of SW Chernarus,Map of SW Chernarus,Map of SW Chernarus,Map of SW Chernarus,Map of SW Chernarus,Map of SW Chernarus,Карта юго-запада Чернаруси,Map of SW Chernarus,Map of SW Chernarus,Map of SW Chernarus,Map of SW Chernarus
STR_ITEMS_MAPBEREZINO_DESC,"Tourist map of the city Berezino. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Berezino, be sure to bring this map with you!","Tourist map of the city Berezino. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Berezino, be sure to bring this map with you!","Tourist map of the city Berezino. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Berezino, be sure to bring this map with you!","Tourist map of the city Berezino. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Berezino, be sure to bring this map with you!","Tourist map of the city Berezino. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Berezino, be sure to bring this map with you!","Tourist map of the city Berezino. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Berezino, be sure to bring this map with you!","Tourist map of the city Berezino. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Berezino, be sure to bring this map with you!","Tourist map of the city Berezino. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Berezino, be sure to bring this map with you!","Tourist map of the city Berezino. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Berezino, be sure to bring this map with you!","Tourist map of the city Berezino. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Berezino, be sure to bring this map with you!","Tourist map of the city Berezino. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Berezino, be sure to bring this map with you!"
STR_ITEMS_MAPELEKTRO,Map of Elektrozavodsk,Map of Elektrozavodsk,Map of Elektrozavodsk,Map of Elektrozavodsk,Map of Elektrozavodsk,Map of Elektrozavodsk,Карта Электрозаводска,Map of Elektrozavodsk,Map of Elektrozavodsk,Map of Elektrozavodsk,Map of Elektrozavodsk
STR_ITEMS_MAPELEKTRO_DESC,"Tourist map of the city Elektrozavodsk. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Elektrozavodsk, be sure to bring this map with you!","Tourist map of the city Elektrozavodsk. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Elektrozavodsk, be sure to bring this map with you!","Tourist map of the city Elektrozavodsk. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Elektrozavodsk, be sure to bring this map with you!","Tourist map of the city Elektrozavodsk. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Elektrozavodsk, be sure to bring this map with you!","Tourist map of the city Elektrozavodsk. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Elektrozavodsk, be sure to bring this map with you!","Tourist map of the city Elektrozavodsk. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Elektrozavodsk, be sure to bring this map with you!","Tourist map of the city Elektrozavodsk. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Elektrozavodsk, be sure to bring this map with you!","Tourist map of the city Elektrozavodsk. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Elektrozavodsk, be sure to bring this map with you!","Tourist map of the city Elektrozavodsk. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Elektrozavodsk, be sure to bring this map with you!","Tourist map of the city Elektrozavodsk. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Elektrozavodsk, be sure to bring this map with you!","Tourist map of the city Elektrozavodsk. All points of interest marked, including statues, interesting historical buildings and places to grab a meal. If you are planning a trip to Elektrozavodsk, be sure to bring this map with you!"
STR_ITEMS_MAPZELENO,Map of Zelenogorsk,Map of Zelenogorsk,Map of Zelenogorsk,Map of Zelenogorsk,Map of Zelenogorsk,Map of Zelenogorsk,Карта Зеленогорска,Map of Zelenogorsk,Map of Zelenogorsk,Map of Zelenogorsk,Map of Zelenogorsk
STR_ITEMS_FULLMAP_DESC,A full map of Chernarus.,A full map of Chernarus.,A full map of Chernarus.,A full map of Chernarus.,A full map of Chernarus.,A full map of Chernarus.,Полная карта Чернаруси.,A full map of Chernarus.,A full map of Chernarus.,A full map of Chernarus.,A full map of Chernarus.
STR_ITEMS_MAPCHERNO,Map of Chernogorsk,Map of Chernogorsk,Map of Chernogorsk,Map of Chernogorsk,Map of Chernogorsk,Map of Chernogorsk,Карта Черногорска,Map of Chernogorsk,Map of Chernogorsk,Map of Chernogorsk,Map of Chernogorsk
